Country Name,Country Code,Series Name,Series Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,1467.776477,1530.814816,1769.199828,2224.745864,2814.999895,2980.602109,3416.510596,4193.373652,5090.932345,4714.702495,4635.517779,5092.551943,4778.636088,5131.394506,5329.635045,4727.277381
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,3522.308678,3278.00825,3190.615453,4330.9449,5073.53765,5520.12472,5516.03921,5832.733942,5713.534983,5255.768461,6434.815657,7617.325094,7877.79035,7224.965172,7780.638385,6799.875234
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,3749.75325,3156.798718,2829.283192,3070.910491,3637.462389,4790.437088,5886.463588,7348.030794,8831.023117,8597.915352,11286.24302,13245.6125,12370.0242,12300.32258,12112.5903,8814.000987
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,18012.55626,16472.14862,16850.15113,18560.60857,21902.08805,26105.27903,30979.87917,32663.56659,37934.37651,27955.71386,35269.55311,47055.84112,47741.90647,44740.08502,41726.78397,31164.56203
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,1609.882452,1757.44378,2076.830682,2698.624248,3363.799644,3869.529455,4490.201777,5885.949252,7261.754492,6969.558557,6843.26695,7813.806692,7378.02473,7646.839866,7864.760672,6993.783483
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,226.4759814,235.4912324,260.7635413,332.3443051,371.3230865,406.9988071,420.5825537,475.1100122,569.7613172,552.7455886,575.4464527,666.8401198,673.8215984,699.7794056,703.8200556,575.3144542
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,136.4639708,134.3634475,123.117628,113.5673664,128.3366128,151.6814634,167.3764845,172.4958599,198.3529006,212.1368804,234.2356469,249.5779794,252.3589799,256.9760028,274.8579479,305.5497728
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,1259.323656,1292.202785,1401.903733,1809.089925,2024.275248,2099.157484,2361.385134,3186.826892,3721.250949,3517.401245,3378.25486,3740.389099,3447.524041,3615.979041,3588.674054,3043.013984
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,302.5771636,321.1503013,338.9872627,362.3357077,408.5138263,474.1112278,539.7501687,631.5248421,745.6091807,738.0547836,785.5022829,882.2754926,950.880346,1013.420401,1093.496191,1162.90492
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,649.9918454,651.1009075,707.8875674,865.9581375,1009.94312,1011.880073,1062.137433,1194.06985,1371.746708,1314.706015,1285.261726,1403.255638,1354.623087,1465.222327,1540.568182,1326.969277
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,24190.24962,23738.18072,24169.28473,28200.65808,32034.30774,36266.18712,40385.86996,44543.04104,46594.45095,40773.06153,47450.31847,52101.79609,52542.34666,52504.6557,50835.51118,43495.05439
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,47014.32449,83322.78344,85434.26817,85187.84024,77398.01584,73350.78482,72328.41164,72783.32044,73515.89532,74990.43322,76280.48625
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,251.2068774,250.3570114,260.7455273,293.6618517,320.7374603,331.1629242,354.6713801,404.373965,464.5614221,474.7054087,487.9453833,551.0280576,565.8330584,380.1900917,423.8841246,377.2712538
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,165.7629866,196.9736976,220.3759764,291.9448516,453.5218172,658.3049578,709.7651951,798.5480013,925.6360843,800.4642249,891.6988174,983.4472327,967.408126,979.5339592,1018.930956,775.7075235
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,43381.65784,41804.37092,44544.43344,48859.48302,56753.3862,58197.44938,63239.65383,74462.64675,..,..,..,..,..,..,..,..
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,5074.901624,4574.594421,4446.250505,4772.56282,6194.853107,7598.525121,9464.550243,10502.35452,10751.47967,10208.90676,12808.03459,14637.24024,15351.55133,15842.94081,14670.99676,13574.17183
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,959.3724836,1053.108243,1148.50829,1288.643252,1508.668098,1753.417829,2099.229435,2693.969827,3468.304463,3832.235952,4550.453596,5618.132491,6316.918863,7050.64592,7651.366044,8033.388043
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,2520.480898,2439.681789,2396.627303,2281.401927,2782.623053,3404.19019,3731.168489,4703.213157,5461.780726,5195.393376,6326.549469,7324.383286,8042.529769,8212.667829,8114.084264,6175.87603
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,645.8186908,680.3185414,744.4751724,935.611518,1059.176884,1068.600321,1113.957757,1238.461514,1387.594626,1339.337191,1315.214806,1446.068018,1403.428519,1504.920859,1511.816083,1242.102885
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,405.216253,153.5910092,175.0099651,173.7961353,194.0399624,218.3861908,255.4330838,286.3304921,327.5637218,298.6196821,334.0215726,387.0824654,424.6003861,457.9637283,486.7870819,497.3169608
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,1029.577037,868.3399509,912.2781532,1026.107674,1324.219142,1680.204588,2064.344523,2165.745759,2956.264407,2314.266025,2809.694957,3282.393455,3032.667329,3047.064589,2992.931349,1761.32357
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,3772.870012,3944.737613,4024.6519,4129.632791,4385.390719,4654.824822,5201.514095,6071.789165,6859.079022,6760.477515,8141.913127,9121.932518,9913.209959,10490.08133,10547.15186,11299.13554
